id,sex,weight,height,bmi
A10165,Male,101.15,1.75,32.93
A10203,Male,88.9,1.78,28.12
A10300,Male,85.28,1.68,30.34
A10307,Male,74.84,1.8,23.01
A10309,Male,91.63,1.52,39.45
A10388,Male,75.75,1.65,27.79
A10397,Male,88.45,1.75,28.8
A10398,Male,60.78,1.7,20.99
A10410,Male,86.18,1.68,30.67
A10413,Male,83.91,1.68,29.86
A10447,Male,81.65,1.73,27.37
A10459,Male,70.31,1.8,21.62
A10465,Male,103.42,1.85,30.08
A10480,Male,65.77,1.7,22.71
A10487,Male,93.44,1.73,31.32
A10506,Male,68.95,1.73,23.11
A10508,Male,122.02,1.65,44.76
A10510,Male,83.91,1.8,25.8
A10514,Male,70.31,1.78,22.24
A10574,Male,77.11,1.68,27.44
A10582,Male,65.77,1.68,23.4
A10628,Male,63.5,1.68,22.6
A10654,Male,99.79,1.73,33.45
A10656,Male,65.77,1.6,25.69
A10695,Male,112.49,1.75,36.62
A10763,Male,90.26,1.78,28.55
A10859,Male,104.33,1.8,32.08
A10883,Male,81.65,1.78,25.83
A10913,Male,85.73,1.9,23.62
A10935,Male,72.57,1.73,24.33
A10936,Male,57.15,1.7,19.73
A10938,Male,97.98,1.83,29.29
A10939,Male,117.93,1.88,33.38
A10940,Male,90.72,1.78,28.7
A10951,Male,82.55,1.75,26.88
A10970,Male,90.72,1.75,29.53
A11005,Male,117.03,1.78,37.02
A11030,Male,79.38,1.75,25.84
A11128,Male,68.04,1.73,22.81
A15031,Male,90.72,1.93,24.34
A15096,Male,86.18,1.68,30.67
A15110,Male,79.38,1.8,24.41
A15155,Male,91.63,1.85,26.65
A15167,Male,81.65,1.83,24.41
A15172,Male,107.05,1.78,33.86
A15182,Male,86.18,1.75,28.06
A15205,Male,88.9,1.8,27.34
A15210,Male,113.4,1.78,35.87
A15211,Male,84.82,1.68,30.18
A15212,Male,68.04,1.7,23.49
A15243,Male,67.13,1.75,21.86
A15306,Male,96.16,1.75,31.31
A15324,Male,104.33,1.85,30.34
A15336,Male,92.08,1.78,29.13
A15347,Male,111.13,1.75,36.18
A15380,Male,95.25,1.78,30.13
A15385,Male,65.77,1.68,23.4
A15421,Male,83.91,1.88,23.75
A15423,Male,102.06,1.75,33.23
A15491,Male,101.6,1.83,30.38
A15497,Male,73.48,1.78,23.24
A15561,Male,98.88,1.85,28.76
A15580,Male,99.79,1.68,35.51
A15590,Male,80.74,1.83,24.14
A15602,Male,68.04,1.68,24.21
A15612,Male,109.77,1.85,31.93
A15639,Male,80.29,1.8,24.69
A15644,Male,88.45,1.7,30.54
A15655,Male,61.23,1.63,23.17
A15657,Male,90.72,1.75,29.53
A15702,Male,70.31,1.75,22.89
A15776,Male,97.98,1.8,30.13
A15810,Male,69.85,1.8,21.48
A15828,Male,68.04,1.7,23.49
A15829,Male,65.77,1.8,20.22
A15834,Male,79.83,1.85,23.22
A15856,Male,106.59,1.9,29.37
A20093,Male,81.65,1.83,24.41
A20097,Male,79.38,1.75,25.84
A25050,Male,68.04,1.75,22.15
A25088,Male,80.29,1.75,26.14
A25100,Male,104.33,1.85,30.34
A25160,Male,78.47,1.7,27.1
A25186,Male,74.39,1.9,20.5
A25193,Male,106.59,1.83,31.87
A26050,Female,59.87,1.65,21.97
A50005,Male,68.04,1.83,20.34
A50013,Male,95.25,1.9,26.25
A50089,Male,60.78,1.73,20.37
A50119,Male,106.59,1.73,35.73
A50173,Male,70.31,1.75,22.89
A50191,Male,90.72,1.75,29.53
A50207,Male,91.63,1.73,30.71
A50229,Male,100.24,1.8,30.82
A50273,Male,88.45,1.75,28.8
A50321,Male,62.6,1.7,21.61
A50324,Male,102.06,1.83,30.52
A50330,Male,88.9,1.78,28.12
A50367,Male,73.03,1.7,25.22
A50446,Male,86.18,1.8,26.5
A50517,Male,167.83,1.8,51.6
A50585,Male,83.91,1.78,26.54
A50669,Male,65.32,1.78,20.66
A50676,Male,99.79,1.8,30.68
A50692,Male,93.44,1.8,28.73
A50716,Male,72.57,1.75,23.63
A50773,Male,89.81,1.78,28.41
A50779,Male,79.38,1.83,23.73
A50844,Male,96.62,1.75,31.45
A50947,Male,83.91,1.75,27.32
A50955,Male,106.59,1.75,34.7
A50993,Male,83.91,1.73,28.13
A51054,Male,77.11,1.7,26.63
A51082,Male,97.52,1.68,34.7
A51149,Male,79.38,1.78,25.11
A51174,Male,73.94,1.73,24.78
A51196,Male,87.09,1.8,26.78
A51233,Male,93.89,1.65,34.45
A51236,Male,81.65,1.83,24.41
A51240,Male,72.57,1.75,23.63
A51322,Male,79.38,1.8,24.41
A51344,Male,83.91,1.75,27.32
A51368,Male,124.74,1.9,34.37
A51372,Male,81.65,1.73,27.37
A51378,Male,95.25,1.75,31.01
A56009,Male,83.91,1.73,28.13
A56059,Male,90.72,1.85,26.39
A56081,Male,77.11,1.7,26.63
A56106,Male,75.3,1.78,23.82
A56131,Male,90.72,1.78,28.7
A56136,Male,86.18,1.75,28.06
A57708,Male,104.33,1.85,30.34
A57711,Male,95.25,1.88,26.96
A57980,Male,70.31,1.78,22.24
A60034,Male,97.52,1.78,30.85
A60077,Male,68.04,1.65,24.96
A60096,Male,107.5,1.78,34.01
A60121,Male,92.99,1.93,24.95
A60138,Male,102.97,1.75,33.52
A60145,Male,81.65,1.83,24.41
A60152,Male,102.51,1.7,35.4
A60158,Male,73.03,1.73,24.48
A60166,Male,98.88,1.75,32.19
A60185,Male,81.65,1.8,25.1
A60203,Male,78.02,1.8,23.99
A60218,Male,86.18,1.78,27.26
A60224,Male,88.45,1.83,26.45
A60247,Male,77.11,1.75,25.1
A60264,Male,81.65,1.85,23.75
A60269,Male,102.06,1.9,28.12
A60334,Male,95.25,1.88,26.96
A60338,Male,102.06,1.8,31.38
A60349,Male,79.83,1.75,25.99
A60369,Male,58.97,1.75,19.2
A60441,Male,76.2,1.83,22.78
A60451,Male,86.18,1.83,25.77
A60478,Male,113.4,1.68,40.35
A60491,Male,107.05,1.73,35.88
A60514,Male,114.31,1.85,33.25
A60700,Male,88.45,1.85,25.73
A60767,Male,90.72,1.8,27.89
A60810,Male,83.91,1.75,27.32
A60835,Male,77.56,1.83,23.19
A60862,Male,79.83,1.8,24.55
A60879,Male,92.99,1.8,28.59
A60881,Male,86.18,1.85,25.07
A60925,Male,95.25,1.83,28.48
A60952,Male,112.94,1.75,36.77
A60972,Male,87.09,1.73,29.19
A61010,Male,78.93,1.78,24.97
A61038,Male,72.12,1.7,24.9
A61070,Male,83.91,1.88,23.75
A61104,Male,78.02,1.73,26.15
A61136,Male,62.6,1.65,22.96
A61175,Male,73.03,1.65,26.79
A61187,Male,74.84,1.7,25.84
A61191,Male,100.7,1.68,35.83
A61248,Male,112.94,1.8,34.73
A61254,Male,72.57,1.7,25.06
A61270,Male,103.42,1.8,31.8
A61441,Male,65.77,1.8,20.22
A61492,Male,83.91,1.8,25.8
A61541,Male,77.56,1.8,23.85
A61543,Male,88.45,1.8,27.2
A61589,Male,73.94,1.7,25.53
A61629,Male,88.45,1.7,30.54
A61667,Male,104.33,1.85,30.34
A61683,Male,81.65,1.68,29.05
A61697,Male,78.93,1.7,27.25
A61719,Male,77.11,1.85,22.43
A61721,Male,102.06,1.83,30.52
A61897,Male,72.57,1.73,24.33
A61982,Male,72.57,1.78,22.96
A62093,Male,67.13,1.73,22.5
A62143,Male,58.97,1.8,18.13
A62145,Male,77.11,1.78,24.39
A62152,Male,65.77,1.68,23.4
A62183,Male,82.1,1.7,28.35
A62222,Male,81.65,1.8,25.1
A62260,Male,79.38,1.7,27.41
A62278,Male,72.57,1.65,26.63
A62372,Male,82.1,1.83,24.55
A62475,Male,68.04,1.8,20.92
A62508,Male,78.47,1.73,26.3
A62511,Male,81.19,1.78,25.68
A62585,Male,72.12,1.7,24.9
A62613,Male,92.53,1.9,25.5
A62670,Male,106.14,1.68,37.77
A62674,Male,79.38,1.68,28.25
A62676,Male,70.31,1.73,23.57
A62696,Male,84.37,1.78,26.69
A62709,Male,68.95,1.68,24.53
A62835,Male,83.91,1.78,26.54
A62838,Male,82.55,1.75,26.88
A62907,Male,88.45,1.85,25.73
A63018,Male,75.75,1.73,25.39
A63055,Male,74.84,1.78,23.67
A63057,Male,90.72,1.65,33.28
A63074,Male,151.95,1.9,41.87
A63079,Male,117.03,1.75,38.1
A63110,Male,108.86,1.88,30.81
A63227,Male,109.32,1.78,34.58
A63302,Male,71.67,1.78,22.67
A63323,Male,70.76,1.8,21.76
A63335,Male,120.2,1.96,31.42
A63412,Male,75.75,1.83,22.65
A63416,Male,94.35,1.68,33.57
A63465,Male,106.59,1.75,34.7
A63522,Male,83.91,1.8,25.8
A63557,Male,90.72,1.85,26.39
A63589,Male,119.29,1.8,36.68
A63633,Male,73.94,1.75,24.07
A63684,Male,83.91,1.7,28.97
A63742,Male,95.25,1.83,28.48
A63871,Male,78.02,1.65,28.62
A63882,Male,75.3,1.83,22.51
A63900,Male,83.91,1.88,23.75
A63927,Male,92.08,1.88,26.06
A64002,Male,103.87,1.7,35.87
A64004,Male,81.65,1.8,25.1
A64023,Male,70.76,1.83,21.16
A64030,Male,88.9,1.65,32.62
A64086,Male,77.11,1.7,26.63
A64188,Male,77.11,1.78,24.39
A64206,Male,98.88,1.83,29.57
A64229,Male,99.79,1.73,33.45
A64235,Male,97.98,1.7,33.83
A64246,Male,58.51,1.68,20.82
A64284,Male,70.31,1.7,24.28
A64313,Male,83.91,1.83,25.09
A64333,Male,77.11,1.75,25.1
A64349,Male,76.2,1.65,27.96
A64363,Male,79.38,1.83,23.73
A66045,Male,87.09,1.85,25.33
A66171,Male,69.4,1.7,23.96
A66229,Male,73.03,1.7,25.22
A66267,Male,84.37,1.7,29.13
A66271,Male,92.99,1.8,28.59
A66320,Male,72.57,1.73,24.33
A66400,Male,90.72,1.75,29.53
A66460,Male,70.31,1.75,22.89
A66464,Male,70.31,1.52,30.27
A66488,Male,89.81,1.78,28.41
A66507,Male,74.39,1.73,24.94
A67856,Male,81.65,1.8,25.1
A67942,Male,73.03,1.8,22.45
A68069,Male,77.11,1.75,25.1
A68106,Male,90.26,1.83,26.99
A68230,Male,106.59,1.8,32.78
A68344,Male,116.57,1.85,33.91
A68363,Male,92.53,1.7,31.95
A68398,Male,96.62,1.9,26.62
A68418,Male,95.25,1.78,30.13
A68566,Male,70.76,1.65,25.96
A68643,Male,79.38,1.7,27.41
A68647,Male,58.97,1.68,20.98
A68718,Male,74.84,1.78,23.67
A68728,Male,136.08,1.83,40.69
A68809,Male,93.44,1.78,29.56
A68864,Male,70.31,1.63,26.61
A68998,Male,88.45,1.93,23.74
A69036,Male,70.31,1.78,22.24
A69051,Male,77.11,1.75,25.1
A69085,Male,97.98,1.8,30.13
A70164,Male,68.04,1.6,26.57
A70170,Male,81.65,1.75,26.58
A70187,Male,67.59,1.68,24.05
A70206,Male,68.95,1.8,21.2
A70208,Male,68.95,1.78,21.81
A70223,Male,92.99,1.85,27.05
A70269,Male,77.11,1.7,26.63
A70296,Male,82.1,1.73,27.52
A70343,Male,97.52,1.8,29.99
A70453,Male,100.24,1.75,32.64
A70454,Male,90.72,1.85,26.39
A70470,Male,99.79,1.75,32.49
A70481,Male,70.31,1.75,22.89
A70554,Male,70.31,1.78,22.24
A70562,Male,122.92,1.85,35.75
A70571,Male,91.63,1.83,27.4
A70618,Male,96.62,1.78,30.56
A70631,Male,123.83,1.78,39.17
A70646,Male,79.83,1.63,30.21
A70703,Male,77.11,1.78,24.39
A70723,Male,92.99,1.75,30.27
A70764,Male,80.74,1.68,28.73
A70777,Male,83.91,1.7,28.97
A70866,Male,65.77,1.75,21.41
A70869,Male,68.04,1.78,21.52
A70889,Male,56.7,1.6,22.14
A70902,Male,104.78,1.73,35.12
A70905,Male,83.91,1.75,27.32
A70975,Male,68.04,1.73,22.81
A70978,Male,84.37,1.78,26.69
A70983,Male,81.19,1.78,25.68
A70990,Male,78.02,1.83,23.33
A70998,Male,74.39,1.8,22.87
A71033,Male,58.97,1.68,20.98
A71068,Male,83.91,1.78,26.54
A71082,Male,77.11,1.73,25.85
A71170,Male,83.91,1.75,27.32
A71250,Male,90.26,1.83,26.99
A71259,Male,61.23,1.83,18.31
A71264,Male,72.57,1.73,24.33
A71350,Male,95.25,1.8,29.29
A71362,Male,72.57,1.78,22.96
A71429,Male,95.25,1.88,26.96
A71437,Male,90.72,1.88,25.68
A71467,Male,134.26,1.8,41.28
A71517,Male,97.52,1.83,29.16
A71530,Male,90.72,1.88,25.68
A71537,Male,99.79,1.8,30.68
A71641,Male,91.63,1.83,27.4
A71662,Male,120.2,1.8,36.96
A71709,Male,84.82,1.85,24.67
A71724,Male,104.33,1.83,31.19
A71739,Male,147.42,1.8,45.33
A71810,Male,72.57,1.75,23.63
A71812,Male,77.11,1.78,24.39
A71818,Male,72.57,1.75,23.63
A71904,Male,81.65,1.75,26.58
A71978,Male,81.65,1.8,25.1
A72030,Male,91.17,1.83,27.26
A72037,Male,79.38,1.75,25.84
A72063,Male,73.48,1.8,22.59
A72077,Male,88.45,1.73,29.65
A72086,Male,102.06,1.85,29.68
A72098,Male,104.33,1.68,37.12
A72103,Male,86.18,1.8,26.5
A72120,Male,89.81,1.75,29.24
A72149,Male,67.13,1.75,21.86
A72159,Male,76.2,1.8,23.43
A72194,Male,80.29,1.78,25.4
A72308,Male,77.11,1.68,27.44
A72335,Male,108.86,1.8,33.47
A72502,Male,108.86,1.85,31.66
A72503,Male,99.79,1.85,29.03
A72531,Male,56.25,1.65,20.63
A72590,Male,92.99,1.85,27.05
A72640,Male,99.34,1.73,33.3
A72649,Male,123.83,1.9,34.12
A72655,Male,71.67,1.73,24.02
A72676,Male,66.68,1.8,20.5
A72823,Male,73.48,1.73,24.63
A72830,Male,68.49,1.68,24.37
A72922,Male,54.43,1.68,19.37
A72965,Male,78.02,1.78,24.68
A73023,Male,95.25,1.65,34.95
A73059,Male,77.11,1.8,23.71
A73078,Male,98.43,1.73,32.99
A73099,Male,75.75,1.73,25.39
A73184,Male,81.65,1.83,24.41
A73193,Male,80.74,1.73,27.06
A73327,Male,112.94,1.85,32.85
A73335,Male,73.94,1.7,25.53
A73403,Male,73.94,1.75,24.07
A73437,Male,113.4,1.88,32.1
A73452,Male,105.23,1.88,29.79
A73489,Male,73.48,1.83,21.97
A73498,Male,104.33,1.75,33.96
A73504,Male,75.3,1.83,22.51
A73555,Male,90.72,1.83,27.12
A73587,Male,89.81,1.75,29.24
A73626,Male,81.65,1.83,24.41
A73639,Male,104.33,1.8,32.08
A73673,Male,108.86,1.85,31.66
A73679,Male,90.72,1.75,29.53
A73734,Male,56.7,1.65,20.8
A73738,Male,122.92,1.8,37.8
A73756,Male,79.38,1.75,25.84
A73764,Male,92.08,1.73,30.87
A73769,Male,98.43,1.75,32.04
A73818,Male,81.65,1.78,25.83
A73846,Male,74.84,1.7,25.84
A73865,Male,77.56,1.83,23.19
A73943,Male,83.01,1.78,26.26
A74022,Male,95.25,1.7,32.89
A74048,Male,92.99,1.85,27.05
A74099,Male,78.93,1.73,26.46
A74128,Male,72.57,1.73,24.33
A74131,Male,83.91,1.68,29.86
A74143,Male,92.99,1.8,28.59
A74146,Male,100.7,1.93,27.02
A74207,Male,72.57,1.68,25.82
A74220,Male,59.87,1.75,19.49
A76000,Male,80.29,1.73,26.91
A76082,Male,81.65,1.88,23.11
A76086,Male,70.31,1.75,22.89
A76117,Male,106.59,1.73,35.73
A76118,Male,73.94,1.65,27.12
A76140,Male,108.86,1.8,33.47
A76273,Male,77.56,1.75,25.25
A76278,Male,98.88,1.83,29.57
A76285,Male,68.04,1.6,26.57
A77022,Female,99.79,1.68,35.51
A77521,Male,108.41,1.88,30.69
A77551,Male,88.45,1.8,27.2
A77585,Male,72.57,1.75,23.63
A77600,Male,96.16,1.78,30.42
A77652,Male,99.79,1.88,28.25
A77719,Male,99.79,1.85,29.03
A77744,Male,70.76,1.83,21.16
A77854,Male,68.95,1.7,23.81
A77883,Male,83.91,1.68,29.86
A77912,Male,95.25,1.63,36.05
A77947,Male,73.94,1.78,23.39
A78002,Male,73.94,1.8,22.73
A78072,Male,79.38,1.75,25.84
A78111,Male,83.91,1.85,24.41
A78128,Male,72.57,1.75,23.63
A78222,Male,81.19,1.93,21.79
A78301,Male,76.2,1.7,26.31
A78306,Male,61.69,1.65,22.63
A78488,Male,93.44,1.8,28.73
A78522,Male,90.72,1.73,30.41
A78639,Male,68.04,1.73,22.81
A80048,Male,93.44,1.88,26.45
A80094,Male,88.0,1.8,27.06
A80123,Male,108.86,1.83,32.55
A80194,Male,86.18,1.78,27.26
A80196,Male,96.62,1.8,29.71
A80201,Male,94.35,1.68,33.57
A80204,Male,77.11,1.85,22.43
A80212,Male,81.65,1.68,29.05
A80215,Male,71.67,1.96,18.74
A80221,Male,102.06,1.73,34.21
A80252,Male,108.86,1.73,36.49
A80254,Male,93.89,1.83,28.07
A80264,Male,72.57,1.75,23.63
A80360,Male,124.28,1.75,40.46
A80442,Male,90.72,1.73,30.41
A80477,Male,88.45,1.83,26.45
A80517,Male,93.44,1.75,30.42
A80528,Male,91.63,1.75,29.83
A80529,Male,72.57,1.7,25.06
A80533,Male,72.57,1.8,22.32
A80568,Male,100.7,1.78,31.85
A80582,Male,117.48,1.7,40.56
A80609,Male,95.25,1.75,31.01
A80610,Male,90.72,1.83,27.12
A80640,Male,95.25,1.75,31.01
A80665,Male,83.91,1.88,23.75
A80675,Male,59.87,1.7,20.67
A80693,Male,72.57,1.8,22.32
A80710,Male,72.57,1.7,25.06
A80761,Male,104.33,1.88,29.53
A80811,Male,79.38,1.78,25.11
A80814,Male,83.91,1.75,27.32
A80834,Male,83.46,1.85,24.28
A80915,Male,108.41,1.88,30.69
A80929,Male,79.83,1.75,25.99
A81024,Male,78.93,1.78,24.97
A81091,Male,73.48,1.75,23.92
A81099,Male,71.67,1.8,22.04
A81100,Male,68.04,1.7,23.49
A81126,Male,63.5,1.65,23.3
A81135,Male,74.84,1.8,23.01
A81170,Male,85.73,1.85,24.94
A81377,Male,66.68,1.7,23.02
A81381,Male,99.79,1.7,34.46
A81401,Male,78.02,1.8,23.99
A81442,Male,92.99,1.7,32.11
A81444,Male,71.21,1.75,23.18
A81457,Male,80.74,1.68,28.73
A81553,Male,108.86,1.65,39.94
A81563,Male,104.33,1.85,30.34
A81574,Male,99.79,1.75,32.49
A81630,Male,61.69,1.65,22.63
A81636,Male,149.69,1.9,41.25
A81652,Male,74.84,1.96,19.57
A81692,Male,81.65,1.65,29.95
A81704,Male,76.2,1.73,25.54
A81716,Male,77.11,1.7,26.63
A81754,Male,95.25,1.8,29.29
A81775,Male,86.18,1.68,30.67
A81779,Male,84.82,1.88,24.01
A81783,Male,86.18,1.78,27.26
A81795,Male,72.57,1.75,23.63
A81804,Male,88.45,1.78,27.98
A81811,Male,88.0,1.8,27.06
A81850,Male,72.57,1.7,25.06
A81855,Male,89.36,1.78,28.27
A81889,Male,90.72,1.9,25.0
A81893,Male,78.02,1.85,22.69
A81921,Male,92.99,1.8,28.59
A81938,Male,75.75,1.83,22.65
A81991,Male,81.65,1.83,24.41
A82017,Male,74.84,1.73,25.09
A82077,Male,81.65,1.78,25.83
A82091,Male,86.18,1.75,28.06
A82092,Male,86.18,1.78,27.26
A82134,Male,74.84,1.8,23.01
A82169,Male,81.65,1.8,25.1
A82180,Male,74.84,1.68,26.63
A82195,Male,83.91,1.83,25.09
A82197,Male,90.26,1.78,28.55
A82254,Male,78.93,1.78,24.97
A82291,Male,97.07,1.96,25.38
A82300,Male,86.64,1.8,26.64
A82318,Male,99.79,1.73,33.45
A82333,Male,114.76,1.68,40.83
A82357,Male,143.34,1.85,41.69
A82405,Male,90.26,1.68,32.12
A82455,Male,78.93,1.73,26.46
A82458,Male,79.38,1.73,26.61
A82498,Male,69.4,1.73,23.26
A82509,Male,80.29,1.8,24.69
A82547,Male,117.03,1.75,38.1
A82558,Male,94.35,1.83,28.21
A82579,Male,130.18,1.73,43.64
A82580,Male,108.86,1.88,30.81
A82598,Male,72.57,1.7,25.06
A82609,Male,81.65,1.78,25.83
A82642,Male,97.52,1.8,29.99
A82721,Male,91.17,1.73,30.56
A82768,Male,83.91,1.73,28.13
A82771,Male,90.72,1.7,31.32
A82774,Male,95.25,1.7,32.89
A82791,Male,71.21,1.73,23.87
A82847,Male,90.72,1.8,27.89
A82875,Male,58.97,1.65,21.63
A82899,Male,79.38,1.78,25.11
A82902,Male,63.5,1.83,18.99
A82903,Male,81.65,1.8,25.1
A82914,Male,111.13,1.78,35.15
A82944,Male,72.57,1.83,21.7
A82951,Male,95.25,1.85,27.71
A82968,Male,74.84,1.65,27.46
A82978,Male,72.57,1.7,25.06
A82981,Male,88.0,1.83,26.31
A82994,Male,113.4,1.93,30.43
A83003,Male,86.18,1.75,28.06
A83031,Male,104.33,1.78,33.0
A83037,Male,74.84,1.75,24.37
A83069,Male,77.11,1.83,23.06
A83084,Male,85.28,1.65,31.28
A83094,Male,89.81,1.8,27.62
A83101,Male,99.79,1.83,29.84
A83118,Male,81.65,1.78,25.83
A83163,Male,81.65,1.63,30.9
A83165,Male,72.57,1.75,23.63
A83166,Male,106.59,1.88,30.17
A83208,Male,102.06,1.8,31.38
A83241,Male,58.97,1.65,21.63
A83281,Male,83.91,1.85,24.41
A83283,Male,83.91,1.7,28.97
A83284,Male,91.63,1.83,27.4
A83293,Male,90.72,1.75,29.53
A83302,Male,78.93,1.78,24.97
A83338,Male,79.38,1.7,27.41
A83344,Male,66.68,1.75,21.71
A83405,Male,70.31,1.65,25.79
A83427,Male,97.07,1.8,29.85
A83437,Male,58.97,1.68,20.98
A83508,Male,64.41,1.7,22.24
A83550,Male,91.17,1.9,25.12
A83581,Male,95.25,1.75,31.01
A83608,Male,77.11,1.7,26.63
A83613,Male,81.65,1.68,29.05
A83622,Male,99.79,1.8,30.68
A83630,Male,81.65,1.85,23.75
A83664,Male,120.2,1.7,41.5
A83673,Male,100.7,1.7,34.77
A83711,Male,83.91,1.78,26.54
A83722,Male,96.16,1.68,34.22
A83746,Male,103.87,1.75,33.82
A83748,Male,102.06,1.75,33.23
A83808,Male,108.41,1.85,31.53
A83817,Male,111.13,1.78,35.15
A83822,Male,72.57,1.7,25.06
A83855,Male,81.65,1.75,26.58
A83856,Male,90.72,1.7,31.32
A83907,Male,90.72,1.85,26.39
A83913,Male,94.35,1.73,31.63
A83946,Male,82.55,1.65,30.29
A85068,Male,83.91,1.78,26.54
A86028,Male,98.88,1.8,30.4
A86063,Male,97.52,1.75,31.75
A86071,Male,94.35,1.78,29.84
A86099,Male,81.65,1.78,25.83
A86226,Male,67.13,1.75,21.86
A86258,Male,113.4,1.75,36.92
A86277,Male,68.04,1.8,20.92
A87092,Female,74.39,1.63,28.15
A87116,Female,72.12,1.6,28.17
A87167,Female,82.55,1.68,29.38
A87634,Male,90.72,1.68,32.28
A87730,Male,107.95,1.73,36.19
A87828,Male,90.72,1.83,27.12
A87851,Male,70.31,1.75,22.89
A87924,Male,59.87,1.65,21.97
A87981,Male,77.11,1.83,23.06
A87996,Male,88.45,1.93,23.74
A88000,Male,81.65,1.8,25.1
A88018,Male,98.43,1.9,27.12
A88072,Male,83.01,1.75,27.02
A88090,Male,68.04,1.73,22.81
A88099,Male,110.68,1.88,31.33
A88114,Male,95.25,1.8,29.29
A88180,Male,88.45,1.85,25.73
A88255,Male,65.77,1.73,22.05
A88425,Male,65.77,1.73,22.05
A88447,Male,94.35,1.75,30.72
A88460,Male,102.06,1.8,31.38
A90087,Male,84.37,1.7,29.13
A90145,Male,77.11,1.78,24.39
A90171,Male,95.25,1.9,26.25
A90185,Male,92.99,1.78,29.41
A90240,Male,95.25,1.75,31.01
A90268,Male,108.86,1.85,31.66
A90315,Male,72.57,1.7,25.06
A90333,Male,99.79,1.8,30.68
A90344,Male,83.91,1.75,27.32
A90392,Male,79.38,1.8,24.41
A90409,Male,83.91,1.73,28.13
A90420,Male,81.65,1.78,25.83
A90478,Male,72.57,1.7,25.06
A90485,Male,73.94,1.8,22.73
A90506,Male,79.38,1.73,26.61
A90510,Male,52.62,1.9,14.5
A90513,Male,93.89,1.68,33.41
A90532,Male,81.65,1.93,21.91
A90577,Male,86.18,1.83,25.77
A90592,Male,95.25,1.85,27.71
A90608,Male,101.15,1.65,37.11
A90663,Male,88.9,1.75,28.94
A90706,Male,68.04,1.7,23.49
A90720,Male,88.9,1.68,31.63
A90733,Male,104.33,1.73,34.97
A90770,Male,95.25,1.88,26.96
A90846,Male,97.52,1.7,33.67
A90860,Male,127.01,1.83,37.97
A90868,Male,92.08,1.8,28.31
A90881,Male,76.2,1.65,27.96
A90903,Male,102.06,1.88,28.89
A90911,Male,90.72,1.75,29.53
A90937,Male,90.72,1.75,29.53
